"ROWID","MinimumLatitude","MaximumLatitude","MinimumLongitude","MaximumLongitude"
"1","-8.983152838482056E-6","8.983152838482056E-6","-8.983152838482056E-6","8.983152838482056E-6"
"18","38.8630256652832","38.888431549072266","-77.13143157958984","-77.09880065917969"
"69","38.86561584472656","38.89101791381836","-77.12773132324219","-77.09510040283203"
"68","38.86711883544922","38.892520904541016","-77.12885284423828","-77.09622192382812"
"63","38.86711883544922","38.892520904541016","-77.12931823730469","-77.09668731689453"
"6","38.863739013671875","38.88914108276367","-77.1322250366211","-77.09959411621094"
"21","38.86249542236328","38.889930725097656","-77.13172912597656","-77.09648895263672"
"26","38.861549377441406","38.889076232910156","-77.13246154785156","-77.09710693359375"
"47","38.8592643737793","38.889556884765625","-77.13716125488281","-77.09825134277344"
"49","38.8592643737793","38.889556884765625","-77.1335678100586","-77.09465789794922"
"15","38.863258361816406","38.894126892089844","-77.13685607910156","-77.09720611572266"
"24","38.86014938354492","38.891929626464844","-77.13878631591797","-77.09796142578125"
"64","38.859275817871094","38.892852783203125","-77.1419677734375","-77.09883117675781"
"27","38.85810089111328","38.892234802246094","-77.1371078491211","-77.09326171875"
"39","38.862205505371094","38.89743423461914","-77.14022064208984","-77.09496307373047"
"32","38.859004974365234","38.89450454711914","-77.14212036132812","-77.09651947021484"
"65","38.86269760131836","38.89889907836914","-77.13975524902344","-77.09325408935547"
"7","38.85855484008789","38.895599365234375","-77.13872528076172","-77.09114074707031"
"60","38.86200714111328","38.899269104003906","-77.13943481445312","-77.09156799316406"
"40","38.856285095214844","38.89434051513672","-77.13784790039062","-77.08897399902344"
"52","38.86103820800781","38.89950180053711","-77.13926696777344","-77.08985137939453"
"22","38.85837173461914","38.896888732910156","-77.1432113647461","-77.09373474121094"
"28","38.8577880859375","38.89670181274414","-77.14411163330078","-77.09412384033203"
"29","38.85855484008789","38.897579193115234","-77.13822937011719","-77.08809661865234"
"62","38.86091232299805","38.90000534057617","-77.14302062988281","-77.0927963256836"
"67","38.86129379272461","38.900550842285156","-77.1423110961914","-77.09188842773438"
"59","38.85658645629883","38.89661407470703","-77.14611053466797","-77.09468841552734"
"11","38.857688903808594","38.897987365722656","-77.14035034179688","-77.08858489990234"
"13","38.85622024536133","38.89655303955078","-77.14031219482422","-77.08850860595703"
"35","38.85755157470703","38.89822769165039","-77.13882446289062","-77.0865707397461"
"20","38.85823059082031","38.89940643310547","-77.141357421875","-77.08846282958984"
"70","38.85245132446289","38.89472579956055","-77.1416015625","-77.0873031616211"
"10","38.8563232421875","38.89933395385742","-77.14520263671875","-77.08995056152344"
"38","38.853424072265625","38.896453857421875","-77.14579010009766","-77.09051513671875"
"12","38.85407257080078","38.8978385925293","-77.14311981201172","-77.08689880371094"
"50","38.85138702392578","38.896663665771484","-77.1456298828125","-77.08747100830078"
"55","38.85161209106445","38.89720916748047","-77.14309692382812","-77.08452606201172"
"124","-8.983152838482056E-6","8.983152838482056E-6","-8.983152838482056E-6","8.983152838482056E-6"
"125","-8.983152838482056E-6","8.983152838482056E-6","-8.983152838482056E-6","8.983152838482056E-6"
"370","-8.983152838482056E-6","8.983152838482056E-6","-8.983152838482056E-6","8.983152838482056E-6"
"120","37.52458572387695","40.201385498046875","-78.93214416503906","-75.49479675292969"
"119","37.510005950927734","40.186805725097656","-78.9264907836914","-75.48985290527344"
"241","37.524169921875","40.20096969604492","-78.92640686035156","-75.48908233642578"
"363","37.524131774902344","40.200931549072266","-78.92634582519531","-75.48902130126953"
"486","37.52424240112305","40.20104217529297","-78.92623138427734","-75.48889923095703"
"485","37.509830474853516","40.18663024902344","-78.92613220214844","-75.489501953125"
"365","37.50975036621094","40.18655014038086","-78.9261245727539","-75.48949432373047"
"243","37.510032653808594","40.186832427978516","-78.92576599121094","-75.48912811279297"
"480","37.444061279296875","40.1208610534668","-78.88129425048828","-75.44783020019531"
"488","37.410945892333984","40.087745666503906","-78.87545013427734","-75.4435806274414"
"474","37.47563552856445","40.152435302734375","-78.85540771484375","-75.42042541503906"
"596","37.47563552856445","40.152435302734375","-78.85540771484375","-75.42042541503906"
"361","37.47539138793945","40.152191162109375","-78.8553466796875","-75.42037963867188"
"239","37.47520446777344","40.15200424194336","-78.8550796508789","-75.42012023925781"
"114","37.474815368652344","40.151615142822266","-78.85474395751953","-75.4197998046875"
"478","37.55644989013672","40.23324966430664","-78.82766723632812","-75.38877868652344"
"600","37.55644989013672","40.23324966430664","-78.82766723632812","-75.38877868652344"
"104","37.557071685791016","40.23387145996094","-78.82757568359375","-75.38866424560547"
"228","37.556724548339844","40.233524322509766","-78.8273696899414","-75.38846588134766"
"350","37.55651092529297","40.23331069946289","-78.82732391357422","-75.38843536376953"
"475","37.5410041809082","40.217803955078125","-78.82526397705078","-75.38713073730469"
"597","37.5410041809082","40.217803955078125","-78.82526397705078","-75.38713073730469"
"349","37.54106140136719","40.21786117553711","-78.82523345947266","-75.38709259033203"
"227","37.54124450683594","40.21804428100586","-78.82508850097656","-75.3869400024414"
"103","37.539981842041016","40.21678161621094","-78.82453155517578","-75.38644409179688"
"109","37.48920440673828","40.1660041809082","-78.82193756103516","-75.38629913330078"
"233","37.49113845825195","40.167938232421875","-78.81794738769531","-75.38221740722656"
"354","37.49150466918945","40.168304443359375","-78.81787872314453","-75.38213348388672"
"472","37.49173355102539","40.16853332519531","-78.81765747070312","-75.38189697265625"
"594","37.49173355102539","40.16853332519531","-78.81765747070312","-75.38189697265625"
"602","37.444061279296875","40.1208610534668","-78.88129425048828","-75.44783020019531"
"607","37.509830474853516","40.18663024902344","-78.92613220214844","-75.489501953125"
"608","37.52424240112305","40.20104217529297","-78.92623138427734","-75.48889923095703"
"610","37.410945892333984","40.087745666503906","-78.87545013427734","-75.4435806274414"
"23","38.866233825683594","38.89163589477539","-77.13096618652344","-77.09833526611328"
"25","38.866336822509766","38.89174270629883","-77.13091278076172","-77.09828186035156"
